,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
37.0,62.93298671288273,55.517739816031536,70.76914350538854,69.81215805471125,54.91955445544554,64.97023498694517,60.79076923076923,55.634408602150536,52.20372340425532,55.17476303317535,62.684397163120565,61.26102719033233,65.86892361111111,56.776885043263285,50.55021520803443,72.31194820482636,63.338224504768895,59.58295625942685
39.0,61.861714285714285,72.07133676092545,,,,,,,,,,,,,,,,
40.0,72.38825883922615,,,,,,,,,,,,,,,,,
41.0,67.66079812206573,62.24185765983112,70.53702372393961,,,,,,,,,,,,,,,
42.0,58.47423312883436,71.40388227927363,71.84408265497808,60.777598710717164,66.28032345013477,,,,,,,,,,,,,
43.0,68.69037995149556,56.4527665317139,,,,,,,,,,,,,,,,
44.0,63.46050321825629,63.814193548387095,75.80893854748604,,,,,,,,,,,,,,,
45.0,62.5598615916955,63.49134948096886,53.48115687992989,,,,,,,,,,,,,,,
46.0,57.898818316100446,,,,,,,,,,,,,,,,,
48.0,58.53023598820059,56.04582951420715,,,,,,,,,,,,,,,,
49.0,57.77681473456121,,,,,,,,,,,,,,,,,
50.0,66.68679019725045,,,,,,,,,,,,,,,,,
51.0,75.09383624655014,,,,,,,,,,,,,,,,,
52.0,58.3165905631659,57.11176968670618,65.52544132917964,65.48487903225806,,,,,,,,,,,,,,
53.0,46.02849740932643,55.55884476534296,69.03714565004887,,,,,,,,,,,,,,,
55.0,69.39856373429085,,,,,,,,,,,,,,,,,
57.0,68.02323008849558,71.18163054695563,,,,,,,,,,,,,,,,
58.0,49.76305220883534,,,,,,,,,,,,,,,,,
60.0,49.17066666666667,,,,,,,,,,,,,,,,,
62.0,70.90831918505943,,,,,,,,,,,,,,,,,
63.0,60.53493449781659,44.872,,,,,,,,,,,,,,,,
64.0,56.53685368536853,,,,,,,,,,,,,,,,,
66.0,53.34012539184953,,,,,,,,,,,,,,,,,
68.0,51.892438070404175,51.91387126019946,,,,,,,,,,,,,,,,
69.0,42.47594677584442,,,,,,,,,,,,,,,,,
70.0,53.94070796460177,,,,,,,,,,,,,,,,,
71.0,49.4218316373728,51.343859649122805,,,,,,,,,,,,,,,,
79.0,51.50581395348837,,,,,,,,,,,,,,,,,
85.0,45.20876494023904,,,,,,,,,,,,,,,,,
