,1,2,3,4,5,6,7,8,9,10,11,12,13,14
37,19.85954469921488,15.568797339246132,22.591962296204954,23.436874532559628,21.12206332757627,23.647608945440524,17.48556233521657,10.26349965916836,15.98077283769463,29.34734996261401,21.20317094017093,11.813396407839932,24.94954654234656,26.374253603309384
40,27.98366892165365,,,,,,,,,,,,,
41,25.07350303030303,,,,,,,,,,,,,
42,19.11500717018059,32.02137365406644,,,,,,,,,,,,
43,22.436624722427823,31.38557545605306,,,,,,,,,,,,
44,17.78041586280814,19.53444230955847,,,,,,,,,,,,
46,19.68851260430391,38.1749197235513,14.917066953713672,,,,,,,,,,,
50,34.82022910798122,29.117132065067537,20.220698847575548,27.248025848442595,38.35525253816115,,,,,,,,,
51,38.68474314720811,,,,,,,,,,,,,
52,23.215064799253028,26.888132087227405,23.82253817082389,,,,,,,,,,,
53,15.881095458117244,51.24460564702139,36.23566544988793,,,,,,,,,,,
58,58.21939786200195,45.02461159701977,,,,,,,,,,,,
59,37.520424081992815,60.40794633123689,,,,,,,,,,,,
60,71.42845247775328,65.92954603345926,27.31328936879291,,,,,,,,,,,
61,39.533518535016086,68.51911258034895,,,,,,,,,,,,
64,33.43330641627544,54.78941573033708,,,,,,,,,,,,
65,24.98393216805347,,,,,,,,,,,,,
67,51.20298795390303,65.47034496590453,,,,,,,,,,,,
69,20.764886021505376,,,,,,,,,,,,,
70,41.526838647343,,,,,,,,,,,,,
73,52.43126253101737,,,,,,,,,,,,,
75,69.09504423598082,,,,,,,,,,,,,
