,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
37,22.67196020187454,25.29124386552958,40.3905533161068,53.47572179251074,44.90965322054807,60.22545609376869,20.28189956174272,23.590914582782617,17.7110390083285,36.44101449275362,34.705328483402894,30.27403134686749,30.17969078014184,23.01418936446173,23.01418936446173,22.04507528508396,22.04507528508396,25.557915202231527,34.08994737507906,23.305605637773084
40,54.98795816993464,46.93682721598003,,,,,,,,,,,,,,,,,,
41,41.28176264775414,27.69440892550635,,,,,,,,,,,,,,,,,,
42,48.70117703206562,51.11832437810945,30.95951274937244,,,,,,,,,,,,,,,,,
44,46.12535204678362,37.42963467132053,19.546756059175323,16.014690439276492,,,,,,,,,,,,,,,,
45,59.73969317889318,23.69583549242085,13.29904883430001,27.710079059829056,,,,,,,,,,,,,,,,
46,19.974208375209383,,,,,,,,,,,,,,,,,,,
47,18.559789473684205,,,,,,,,,,,,,,,,,,,
48,34.22097400793651,,,,,,,,,,,,,,,,,,,
49,42.21661081176264,30.26763903053196,31.90607706855792,29.39717888275016,,,,,,,,,,,,,,,,
50,43.03781912687983,22.35965611745513,25.48338261115832,,,,,,,,,,,,,,,,,
51,26.18775090832277,22.14913738368911,,,,,,,,,,,,,,,,,,
53,51.88686666666667,,,,,,,,,,,,,,,,,,,
55,21.134314430613188,,,,,,,,,,,,,,,,,,,
56,40.67041508664627,44.09290016784156,50.424210839651785,,,,,,,,,,,,,,,,,
59,15.835581439811762,,,,,,,,,,,,,,,,,,,
60,66.86202746566792,,,,,,,,,,,,,,,,,,,
63,58.964504146576665,,,,,,,,,,,,,,,,,,,
67,54.28121111111111,,,,,,,,,,,,,,,,,,,
69,50.49543120504918,62.13131943220753,,,,,,,,,,,,,,,,,,
72,62.45961689623508,,,,,,,,,,,,,,,,,,,
81,50.807264926965374,,,,,,,,,,,,,,,,,,,
