,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,,,,,,,,,,,,,,,,,,,,2139.5,2475.5,2134.0,2303.5,2621.0,2187.5,1763.0,2120.5,2239.0,2776.0,2398.5,3080.0,2089.5,1871.5,1501.0,1842.0,1371.5
40.0,,,1723.5,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,1500.5,835.5,809.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,1897.5,1267.0,1120.0,851.5,1059.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,,1938.0,1473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,2057.5,1652.0,1335.5,693.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,,1186.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,1519.5,1365.0,1878.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,,797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,1480.5,593.5,2049.5,1827.5,2657.5,2268.5,1115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,,,1424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,2118.5,2042.0,1986.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,,1528.5,2569.5,2506.5,938.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,,,2299.0,2198.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,1956.5,1958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,,2785.0,819.0,2574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,2360.5,2095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,2044.0,2178.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,,1793.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,3030.5,1617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,,,,1515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,2001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,,,2662.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,3226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
