,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,2139.5,2475.5,2134.0,2303.5,2621.0,2187.5,1763.0,2120.5,2239.0,2776.0,2398.5,3080.0
40.0,1723.5,,,,,,,,,,,
41.0,1500.5,,,,,,,,,,,
42.0,1897.5,1267.0,,,,,,,,,,
43.0,1938.0,1473.0,,,,,,,,,,
44.0,2057.5,1652.0,,,,,,,,,,
46.0,1519.5,1365.0,1878.5,,,,,,,,,
50.0,1480.5,593.5,2049.5,1827.5,2657.5,2268.5,,,,,,
51.0,1424.0,,,,,,,,,,,
52.0,2118.5,2042.0,1986.5,,,,,,,,,
53.0,1528.5,2569.5,2506.5,,,,,,,,,
58.0,2299.0,2198.5,,,,,,,,,,
59.0,1956.5,1958.0,,,,,,,,,,
60.0,2785.0,819.0,2574.0,,,,,,,,,
61.0,2360.5,2095.0,,,,,,,,,,
64.0,2044.0,2178.5,,,,,,,,,,
65.0,1793.5,,,,,,,,,,,
67.0,3030.5,1617.0,,,,,,,,,,
69.0,1515.0,,,,,,,,,,,
70.0,2001.0,,,,,,,,,,,
73.0,2662.5,,,,,,,,,,,
81.0,3226.0,,,,,,,,,,,
