,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,2025.5,2062.5,1032.5,1041.5,1837.5,2400.0,1836.0,1959.0,1722.0,2067.5,479.5,1374.5,1647.5,1536.0,2089.5,1871.5,1501.0,1842.0,1371.5
40,1152.0,,,,,,,,,,,,,,,,,,
41,835.5,809.5,,,,,,,,,,,,,,,,,
42,1120.0,851.5,1059.5,,,,,,,,,,,,,,,,
44,1013.5,1143.0,1335.5,693.5,,,,,,,,,,,,,,,
45,1870.0,1219.5,1186.5,,,,,,,,,,,,,,,,
46,869.5,,,,,,,,,,,,,,,,,,
47,1470.5,,,,,,,,,,,,,,,,,,
48,1312.5,,,,,,,,,,,,,,,,,,
49,1548.5,1208.5,1448.0,797.0,,,,,,,,,,,,,,,
50,1802.5,1115.0,,,,,,,,,,,,,,,,,
51,1908.0,1838.5,,,,,,,,,,,,,,,,,
53,938.5,,,,,,,,,,,,,,,,,,
55,1857.0,,,,,,,,,,,,,,,,,,
56,1909.0,1751.0,1278.5,,,,,,,,,,,,,,,,
60,1283.5,,,,,,,,,,,,,,,,,,
63,1558.0,,,,,,,,,,,,,,,,,,
67,1996.5,,,,,,,,,,,,,,,,,,
69,1836.0,1071.0,,,,,,,,,,,,,,,,,
72,2146.5,,,,,,,,,,,,,,,,,,
81,2901.5,,,,,,,,,,,,,,,,,,
