,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,,,,,,,,,,,,,,,,,
37.0,1910.5,1534.0,1622.0,1549.0,1743.5,1445.5,1906.5,2236.0,1678.5,1726.5,1552.0,1911.5,1772.0,1850.0,1736.5,1297.0,2436.0,2309.5,1799.5,1838.0,1567.0,1446.5
40.0,1408.5,1011.5,,,,,,,,,,,,,,,,,,,,
43.0,1177.0,1277.0,1124.0,,,,,,,,,,,,,,,,,,,
44.0,1325.0,1140.5,992.5,,,,,,,,,,,,,,,,,,,
45.0,1125.5,794.0,,,,,,,,,,,,,,,,,,,,
46.0,1091.5,1483.0,,,,,,,,,,,,,,,,,,,,
47.0,1023.0,,,,,,,,,,,,,,,,,,,,,
48.0,1461.0,,,,,,,,,,,,,,,,,,,,,
49.0,862.0,1641.5,,,,,,,,,,,,,,,,,,,,
50.0,1235.0,,,,,,,,,,,,,,,,,,,,,
51.0,1420.0,1272.5,,,,,,,,,,,,,,,,,,,,
52.0,1218.5,,,,,,,,,,,,,,,,,,,,,
53.0,1130.5,,,,,,,,,,,,,,,,,,,,,
54.0,1308.5,,,,,,,,,,,,,,,,,,,,,
55.0,907.5,,,,,,,,,,,,,,,,,,,,,
56.0,1346.5,1901.0,1468.0,977.0,,,,,,,,,,,,,,,,,,
57.0,1005.0,,,,,,,,,,,,,,,,,,,,,
58.0,1788.5,1140.0,,,,,,,,,,,,,,,,,,,,
59.0,976.5,,,,,,,,,,,,,,,,,,,,,
60.0,1424.0,1067.0,,,,,,,,,,,,,,,,,,,,
62.0,1599.0,1324.0,,,,,,,,,,,,,,,,,,,,
63.0,1296.5,1162.5,,,,,,,,,,,,,,,,,,,,
65.0,1136.5,1365.5,,,,,,,,,,,,,,,,,,,,
67.0,684.0,,,,,,,,,,,,,,,,,,,,,
68.0,1892.0,,,,,,,,,,,,,,,,,,,,,
69.0,1007.0,1112.5,1158.0,,,,,,,,,,,,,,,,,,,
71.0,1386.0,,,,,,,,,,,,,,,,,,,,,
73.0,1286.5,1122.0,,,,,,,,,,,,,,,,,,,,
74.0,1377.5,,,,,,,,,,,,,,,,,,,,,
79.0,1591.0,,,,,,,,,,,,,,,,,,,,,
87.0,1608.0,,,,,,,,,,,,,,,,,,,,,
