,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,"(73, 72)","(80, 88)","(65, 39)","(97, 103)","(70, 61)","(75, 68)","(79, 78)","(77, 82)","(75, 79)","(75, 81)","(113, 18)","(104, 41)","(77, 70)","(72, 74)","(73, 75)","(80, 80)","(76, 72)","(80, 65)","(77, 75)"
40,"(75, 76)",,,,,,,,,,,,,,,,,,
41,"(86, 75)","(76, 74)",,,,,,,,,,,,,,,,,
42,"(72, 74)","(74, 71)","(78, 76)",,,,,,,,,,,,,,,,
44,"(80, 71)","(72, 74)","(77, 71)","(84, 49)",,,,,,,,,,,,,,,
45,"(73, 77)","(80, 67)","(73, 81)",,,,,,,,,,,,,,,,
46,"(72, 74)",,,,,,,,,,,,,,,,,,
47,"(73, 71)",,,,,,,,,,,,,,,,,,
48,"(76, 78)",,,,,,,,,,,,,,,,,,
49,"(76, 69)","(80, 70)","(78, 72)","(75, 71)",,,,,,,,,,,,,,,
50,"(77, 78)","(75, 75)",,,,,,,,,,,,,,,,,
51,"(79, 80)","(78, 72)",,,,,,,,,,,,,,,,,
53,"(74, 74)",,,,,,,,,,,,,,,,,,
55,"(74, 76)",,,,,,,,,,,,,,,,,,
56,"(78, 75)","(70, 74)","(74, 74)",,,,,,,,,,,,,,,,
60,"(84, 77)",,,,,,,,,,,,,,,,,,
63,"(76, 75)",,,,,,,,,,,,,,,,,,
67,"(80, 75)",,,,,,,,,,,,,,,,,,
69,"(83, 75)","(76, 75)",,,,,,,,,,,,,,,,,
72,"(75, 72)",,,,,,,,,,,,,,,,,,
81,"(75, 78)",,,,,,,,,,,,,,,,,,
