,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,0.799424599036146,0.8104447961852908,0.8126965602371603,0.7911824858539286,0.8581782410395857,0.7498729677593589,0.8151348396727037,0.7675007007468637,0.8784750928684207,0.7644365103239312,0.8040824845449756,0.8094310460518966,0.8446469297444837,0.7473849084096321,0.6593336343495346,0.8191814679033189,0.6237152454638897,0.6185433447447846,0.7529780486821436,0.7989745491452022,0.8574907220574391,0.781935068594107,0.641304884236021,0.779401422628411,0.776611100969578,0.731300231573643,0.799293768529901,0.812609111977509,0.77389530032843,0.678844122991245,0.816070919837894,0.748914720419126,0.769401798955599,0.607989782180778,0.469013581557294,0.63941845385427,0.616528130102896,0.387625632853251,0.596480085567198
40.0,0.8305458392756477,0.854237980651797,0.728121602861183,0.675186168900318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,0.845954151120497,0.452489814955394,0.741156712420975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,0.73773513819223,0.75670764843845,0.537068183222807,0.593027718492698,0.259595402845491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,0.8068047511543661,0.5560383603812845,0.6544304254460561,0.692436519808076,0.662157132410774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,0.8136297280745619,0.7806255410189077,0.7343090986417568,0.742470294295908,0.746952662560797,0.746055444011747,0.658822713561455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,0.6948576529107788,0.8233562783245312,0.516021598627879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,0.7204170477421475,0.7141602501048958,0.621390003492284,0.591961977804601,0.858909988799284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,0.7501163952681124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,0.5879420183810511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,0.7813906722283497,0.7536627706736851,0.274382698423497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,0.7143313645817371,0.595112155827768,0.753366806992773,0.610230201332557,0.625311904119976,0.737793089688957,0.637646683431044,0.5901654951039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,0.6550086505019306,0.7187799168706259,0.67306635884125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,0.7267339024835772,0.853506653652346,0.628721071872486,0.624552699053824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,0.2719650238406871,0.606344521638028,0.722253977312571,0.729562995165128,0.585023006010165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,0.4670190031363438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,0.7337349761349238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,0.8145884350078355,0.6301043101379887,0.3970852683540689,0.7111050032387715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,0.6854243126985253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,0.732583382347029,0.4183295987082751,0.603176720725501,0.445250827411347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,0.5693297049263051,0.754899487997321,0.705804213680491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,0.643862342594067,0.4564235153492207,0.680059214195017,0.900416402480547,0.592339526927035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,0.309219818284647,0.532416054875856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,0.492323697534187,0.6817020236118234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,0.7117456702799375,0.6887217808823074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,0.439749017265043,0.680239007230098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,0.6657230353927959,0.6306370192683489,0.667277537206438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,0.6564678332078804,0.686190358495844,0.70124726405034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,0.7280536295308674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,0.7461874891446313,0.734277566860559,0.8135702212618031,0.741583045222098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,0.742516662416037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,0.7564361560421355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,0.7873153392847524,0.6219195842241032,0.580547970893833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,0.7209409821652267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,0.8264200771329201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,0.668212938763993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,0.752371045215548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
