,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,0.9438565773596692,0.9419637012278798,0.9297236243352957,0.92803433501887,0.942119481116924,0.9313689540401752,0.9342166761926451,0.9449838692555548,0.9422538186192676,0.9352153445041118,0.940805643602714,0.9335941070422088,0.9506044907074248,0.9482609238743428,0.9363522563838428,0.944030208483136,0.9468845711503918,0.9389448469997363,0.946585273175934,0.9257751905815635,0.9369718536837188,0.9321713360300236,0.917558351484978,0.932832062291785,0.921616794336536,0.924347893213598,0.937808792655421,0.930755037724405,0.92579332425855,0.923384258953977,0.92953230509053,0.931399339595139,0.92882107783105,0.923489481890649,0.911133878400343,0.923378634865062,0.873413359723659,0.868737875763887,0.87555659805284
40.0,0.9355769078932498,0.9241251601930994,0.927303743355383,0.887150042208015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,0.927566942958358,0.82292632353227,0.892746877312386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,0.93066190580314,0.914895135660711,0.857289424607854,0.874587499002639,0.875536717801404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,0.9441245356617276,0.9270779543027298,0.9337048392907418,0.915065812401854,0.907414710418758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,0.9389955228721724,0.9342559653149878,0.9305867226051732,0.930504127515857,0.926820842095378,0.89989500641356,0.873882885291679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,0.9431002153999654,0.9228114939491874,0.851932562926761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,0.9227474337203604,0.9324609584151958,0.905195333787562,0.907709172284039,0.941872515593185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,0.9268049285863876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,0.8897552079132673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,0.9290506198814502,0.9321174847726896,0.828426245341606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,0.9275902904038746,0.915775438682204,0.90362122038998,0.92908871416416,0.903536871570374,0.911943782358427,0.928015043725323,0.864293919708187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,0.9362315300666114,0.9303308694227672,0.895464679193797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,0.9271645918551056,0.928715791775323,0.916552418318,0.915682432266061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,0.900592768830622,0.906260000672978,0.926471794803097,0.893963596068869,0.853079470896226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,0.9310965644674668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,0.92850008783176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,0.9274734807166772,0.8804499396893426,0.9146292445602692,0.94875733821852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,0.9183961449720563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,0.9196454391996464,0.8562579558434299,0.851842513217676,0.871292083267041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,0.8735147618933535,0.915083471993516,0.858866697287337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,0.8922426790469151,0.8945040712814024,0.840282500557039,0.913744195578813,0.904379939235895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,0.851315652342333,0.90138339033202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,0.8898819720569282,0.911697488195514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,0.9134316414269354,0.8504234860323822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,0.84931033241321,0.885223143389214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,0.9072829715827078,0.9087258379131176,0.815614002682714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,0.8590630553934658,0.891799168386776,0.834268108130643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,0.8949309195445271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,0.8653901249398503,0.9178335631008608,0.8958645498951577,0.912467753143525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,0.831081432252372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,0.8860666087632054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,0.9145287928639284,0.8933091507410941,0.898586922437012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,0.8932925994306112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,0.9393152466979544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,0.93082697163537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,0.8554177516648273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
