,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,,,,,,,,,,,,,,,,,
37.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
40.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
43.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
44.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
45.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
46.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
47.0,2.0,,,,,,,,,,,,,,,,,,,,,
48.0,2.0,,,,,,,,,,,,,,,,,,,,,
49.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
50.0,2.0,,,,,,,,,,,,,,,,,,,,,
51.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
52.0,2.0,,,,,,,,,,,,,,,,,,,,,
53.0,2.0,,,,,,,,,,,,,,,,,,,,,
54.0,2.0,,,,,,,,,,,,,,,,,,,,,
55.0,2.0,,,,,,,,,,,,,,,,,,,,,
56.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
57.0,2.0,,,,,,,,,,,,,,,,,,,,,
58.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
59.0,2.0,,,,,,,,,,,,,,,,,,,,,
60.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
62.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
63.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
65.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
67.0,2.0,,,,,,,,,,,,,,,,,,,,,
68.0,2.0,,,,,,,,,,,,,,,,,,,,,
69.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
71.0,2.0,,,,,,,,,,,,,,,,,,,,,
73.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
74.0,2.0,,,,,,,,,,,,,,,,,,,,,
79.0,2.0,,,,,,,,,,,,,,,,,,,,,
87.0,2.0,,,,,,,,,,,,,,,,,,,,,
