,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
40.0,2.0,,,,,,,,,,,
41.0,2.0,,,,,,,,,,,
42.0,2.0,2.0,,,,,,,,,,
43.0,2.0,2.0,,,,,,,,,,
44.0,2.0,2.0,,,,,,,,,,
46.0,2.0,2.0,2.0,,,,,,,,,
50.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,
51.0,2.0,,,,,,,,,,,
52.0,2.0,2.0,2.0,,,,,,,,,
53.0,2.0,2.0,2.0,,,,,,,,,
58.0,2.0,2.0,,,,,,,,,,
59.0,2.0,2.0,,,,,,,,,,
60.0,2.0,2.0,2.0,,,,,,,,,
61.0,2.0,2.0,,,,,,,,,,
64.0,2.0,2.0,,,,,,,,,,
65.0,2.0,,,,,,,,,,,
67.0,2.0,2.0,,,,,,,,,,
69.0,2.0,,,,,,,,,,,
70.0,2.0,,,,,,,,,,,
73.0,2.0,,,,,,,,,,,
81.0,2.0,,,,,,,,,,,
