,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,50.783330905535,51.2450637721944,36.2576864945773,36.4153674407065,48.3691809259869,55.2790639154136,48.3494343724283,49.9427298826984,46.8243365786847,51.3071414009779,24.7086697679278,41.8338111369079,45.8002418110557,44.2232511323309,51.5793953892843,48.8146269879414,43.7165021090146,48.4283722770254,41.7881327125809
40,38.2984589185375,,,,,,,,,,,,,,,,,,
41,32.6158188556753,32.1043207600334,,,,,,,,,,,,,,,,,
42,37.7627897553051,32.9266377321157,36.7286985564,,,,,,,,,,,,,,,,
44,35.9225316283399,38.1485622223471,41.2360450576168,29.7151749830593,,,,,,,,,,,,,,,
45,48.7950606993654,39.404512746696,38.8677079312412,,,,,,,,,,,,,,,,
46,33.2728385345648,,,,,,,,,,,,,,,,,,
47,43.270067604905,,,,,,,,,,,,,,,,,,
48,40.8794190573313,,,,,,,,,,,,,,,,,,
49,44.4028313851988,39.2263940454949,42.9377556560251,31.8554848833591,,,,,,,,,,,,,,,
50,47.9063073027459,37.6784035274811,,,,,,,,,,,,,,,,,
51,49.2883459993809,48.3823408176536,,,,,,,,,,,,,,,,,
53,34.5678363906963,,,,,,,,,,,,,,,,,,
55,48.625156396388,,,,,,,,,,,,,,,,,,
56,49.301260540674,47.2169719786357,40.3464590508746,,,,,,,,,,,,,,,,
60,40.4252761977896,,,,,,,,,,,,,,,,,,
63,44.5388281244285,,,,,,,,,,,,,,,,,,
67,50.4184762866129,,,,,,,,,,,,,,,,,,
69,48.3494343724283,36.9274904699921,,,,,,,,,,,,,,,,,
72,52.2781855344466,,,,,,,,,,,,,,,,,,
81,60.7807908721914,,,,,,,,,,,,,,,,,,
