,1,2,3,4,5,6,7,8,9,10,11,12,13,14
37,112.76595555555556,107.1076,121.04942222222222,111.20573333333331,100.37422222222222,102.42146666666666,92.50115555555556,105.30644444444444,100.70564444444445,104.80271111111112,120.04355555555556,97.16742222222224,123.55164444444443,121.95426666666668
40,115.70786666666666,,,,,,,,,,,,,
41,115.03986666666668,,,,,,,,,,,,,
42,114.63382222222222,101.91484444444444,,,,,,,,,,,,
43,113.88,124.78955555555557,,,,,,,,,,,,
44,105.33266666666668,111.5984888888889,,,,,,,,,,,,
46,92.99048888888888,114.21511111111111,109.8288,,,,,,,,,,,
50,96.38204444444445,105.18288888888888,122.55044444444444,120.98582222222224,124.27697777777776,,,,,,,,,
51,125.5152,,,,,,,,,,,,,
52,109.44195555555557,104.9224,114.366,,,,,,,,,,,
53,117.75191111111111,121.91604444444444,115.48062222222222,,,,,,,,,,,
58,117.73426666666668,114.42577777777778,,,,,,,,,,,,
59,99.75377777777778,106.27964444444444,,,,,,,,,,,,
60,118.5967111111111,99.2296,110.31568888888889,,,,,,,,,,,
61,117.53017777777778,114.25795555555555,,,,,,,,,,,,
64,114.23964444444444,104.722,,,,,,,,,,,,
65,102.94718676122932,,,,,,,,,,,,,
67,106.12617777777778,117.71222222222222,,,,,,,,,,,,
69,108.03746666666666,,,,,,,,,,,,,
70,117.99857777777778,,,,,,,,,,,,,
73,120.3196,,,,,,,,,,,,,
75,125.40648888888887,,,,,,,,,,,,,
