,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,0.952963323152353,0.953128343235883,0.952465068182792,0.948325492871911,0.958958268444885,0.961856329821272,0.962521677898859,0.958425506365182,0.955273520998906,0.947045538489991,0.948574026602041,0.941159245649731
40.0,0.966119905258965,,,,,,,,,,,
41.0,0.969996516994385,,,,,,,,,,,
42.0,0.962284950495655,0.978129755228215,,,,,,,,,,
43.0,0.957955893065274,0.966326147192471,,,,,,,,,,
44.0,0.956112100861899,0.96742164531442,,,,,,,,,,
46.0,0.968148851400046,0.968192630445137,0.975370591217413,,,,,,,,,
50.0,0.964246976121601,0.984213156056265,0.962210970203706,0.956442864673606,0.959553123167809,0.960346059321187,,,,,,
51.0,0.964852346062379,,,,,,,,,,,
52.0,0.960129993469433,0.960931063749223,0.954609710487786,,,,,,,,,
53.0,0.96630118964396,0.952146017460616,0.945953453006591,,,,,,,,,
58.0,0.95802082501464,0.958157795640552,,,,,,,,,,
59.0,0.968708927944616,0.966734699578931,,,,,,,,,,
60.0,0.968853799397502,0.986181154922726,0.941883056923626,,,,,,,,,
61.0,0.956152633599817,0.953669642494837,,,,,,,,,,
64.0,0.966860000344722,0.952927664242942,,,,,,,,,,
65.0,0.968745395374632,,,,,,,,,,,
67.0,0.953939240829095,0.97037111053536,,,,,,,,,,
69.0,0.969242545209643,,,,,,,,,,,
70.0,0.96458629828201,,,,,,,,,,,
73.0,0.944054311438487,,,,,,,,,,,
81.0,0.930181788199126,,,,,,,,,,,
