,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
37,0.9091778715240186,0.9154744934373013,0.9241822669304032,0.9323730837066432,0.9175010115275044,0.9407285360706308,0.9160501025175164,0.9230591032858262,0.910232411995088,0.9409756711285406,0.927546200627714,0.9323271846328668,0.9150283240002428,0.9098390765546588,0.9555356473678692,0.9555245218174084,0.920029326915748,0.907383969403284,0.8988010925160749,0.921020326238049
40,0.9504122051174112,0.959443822251256,,,,,,,,,,,,,,,,,,
41,0.9625245978080752,0.966895096931866,,,,,,,,,,,,,,,,,,
42,0.9506702602910716,0.9621578415455544,0.951180560884746,,,,,,,,,,,,,,,,,
44,0.9403209920497058,0.9696388974634907,0.9565596701748516,0.9501567409317996,,,,,,,,,,,,,,,,
45,0.9494360656838912,0.9402887686522012,0.8810149194145519,0.9216867435721166,,,,,,,,,,,,,,,,
46,0.9599881663839296,,,,,,,,,,,,,,,,,,,
47,0.9346641773729856,,,,,,,,,,,,,,,,,,,
48,0.942198584025455,,,,,,,,,,,,,,,,,,,
49,0.961179007512356,0.9291717448192616,0.974736913179056,0.9426298148874208,,,,,,,,,,,,,,,,
50,0.9497871586088288,0.9242542235657258,0.9303918504397948,,,,,,,,,,,,,,,,,
51,0.917095878416248,0.92193878754948,,,,,,,,,,,,,,,,,,
53,0.9561565877497854,,,,,,,,,,,,,,,,,,,
55,0.9211943020903112,,,,,,,,,,,,,,,,,,,
56,0.9430879030867244,0.9203426013523652,0.9258443057770738,,,,,,,,,,,,,,,,,
59,0.8969401189409897,,,,,,,,,,,,,,,,,,,
60,0.9434513324642392,,,,,,,,,,,,,,,,,,,
63,0.9347146969619644,,,,,,,,,,,,,,,,,,,
67,0.9202000749385664,,,,,,,,,,,,,,,,,,,
69,0.9535328580843552,0.9236852484733382,,,,,,,,,,,,,,,,,,
72,0.9135113794585152,,,,,,,,,,,,,,,,,,,
81,0.8774981158038674,,,,,,,,,,,,,,,,,,,
