,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,408.24300710183,289.915283360561,504.487476710704,457.923766867095,446.794940221535,271.529243059446,185.476003366414,326.57098358598,377.176469708302,326.533235349995,413.545464743691,511.300503813018
40.0,472.845243635418,,,,,,,,,,,
41.0,395.084146124868,,,,,,,,,,,
42.0,380.211666666666,534.754627601314,,,,,,,,,,
43.0,461.479373516232,500.050632524707,,,,,,,,,,
44.0,334.065828757721,295.726595199733,,,,,,,,,,
46.0,731.353482413231,310.227295557329,354.100349922175,,,,,,,,,
50.0,343.620817297073,501.581420972644,474.594148596009,641.789390776671,669.384999458622,564.176541384362,,,,,,
51.0,745.914754199843,,,,,,,,,,,
52.0,457.02986076986,498.879183673469,461.334462546292,,,,,,,,,
53.0,692.468326660166,399.656536862861,864.848970976758,,,,,,,,,
58.0,1306.40681255434,1050.79671593697,,,,,,,,,,
59.0,633.420535338676,1059.51104793348,,,,,,,,,,
60.0,1195.36387546602,57.9374710987024,623.444773255433,,,,,,,,,
61.0,1187.96160040433,798.39092620205,,,,,,,,,,
64.0,1043.65733759129,921.663657066491,,,,,,,,,,
65.0,1243.86889956405,,,,,,,,,,,
67.0,942.670356077299,1199.20899325032,,,,,,,,,,
69.0,566.063319739028,,,,,,,,,,,
70.0,1321.78786950043,,,,,,,,,,,
73.0,754.523467330194,,,,,,,,,,,
81.0,336.019915122458,,,,,,,,,,,
