,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,541.946866001645,488.656744376604,137.014325042746,181.22429045477,391.21534370122,587.211514622938,462.897730530339,379.989754640328,417.173056059666,364.242830934614,45.9433723505219,649.793885361186,557.142170694456,541.308209411197,355.192492149604,484.104107587424,1023.74137931034,853.560699758883,1107.76865987005
40,1037.02759664985,,,,,,,,,,,,,,,,,,
41,1022.48126130198,903.348715665976,,,,,,,,,,,,,,,,,
42,975.595713923655,1023.27461497939,792.430742731513,,,,,,,,,,,,,,,,
44,289.916963456888,262.293472467609,874.318872773387,734.962515981735,,,,,,,,,,,,,,,
45,480.569615408505,384.98845394329,1136.66995762588,,,,,,,,,,,,,,,,
46,297.450417248433,,,,,,,,,,,,,,,,,,
47,281.053160934996,,,,,,,,,,,,,,,,,,
48,621.398516204325,,,,,,,,,,,,,,,,,,
49,516.045518615763,408.657031622995,497.361863541564,965.618945083777,,,,,,,,,,,,,,,
50,379.302937749061,880.708021322025,,,,,,,,,,,,,,,,,
51,467.701848427959,360.466352515517,,,,,,,,,,,,,,,,,
53,1018.15666249029,,,,,,,,,,,,,,,,,,
55,379.941296701435,,,,,,,,,,,,,,,,,,
56,804.038509756634,891.897122890587,776.114056224899,,,,,,,,,,,,,,,,
60,1203.21888586463,,,,,,,,,,,,,,,,,,
63,1033.28375073117,,,,,,,,,,,,,,,,,,
67,1060.51147776849,,,,,,,,,,,,,,,,,,
69,1215.48415912813,895.166720493247,,,,,,,,,,,,,,,,,
72,1151.55319892957,,,,,,,,,,,,,,,,,,
81,986.034907024272,,,,,,,,,,,,,,,,,,
