,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\2_1405_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\3_1503_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\5_1001_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\6_0701_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\2_1504_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\3_1401_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\4_1201_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\5_0901_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\2_1504_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\3_1502_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\4_1201_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\5_0901_0_8bits.tiff
40.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\14_0218_0_8bits.tiff,,,,,,,,,,,
41.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\13_0216_0_8bits.tiff,,,,,,,,,,,
42.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\10_0208_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\16_0324_0_8bits.tiff,,,,,,,,,,
43.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\7_0401_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\15_0221_0_8bits.tiff,,,,,,,,,,
44.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\8_0202_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\14_0218_0_8bits.tiff,,,,,,,,,,
46.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\17_0524_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\18_0824_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\13_0215_0_8bits.tiff,,,,,,,,,
50.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\9_0205_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\9_0205_1_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\11_0210_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\12_0213_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\10_0208_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\16_0223_0_8bits.tiff,,,,,,
51.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\20_1424_0_8bits.tiff,,,,,,,,,,,
52.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\7_0401_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\15_0221_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\17_0524_0_8bits.tiff,,,,,,,,,
53.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_160218_tube4_cropped_8bits2\19_1124_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\6_0601_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\13_0216_0_8bits.tiff,,,,,,,,,
58.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\9_0205_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\12_0213_0_8bits.tiff,,,,,,,,,,
59.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\11_0210_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\18_0824_0_8bits.tiff,,,,,,,,,,
60.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\8_0202_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\19_1024_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\15_0222_0_8bits.tiff,,,,,,,,,
61.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\10_0208_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\17_0624_0_8bits.tiff,,,,,,,,,,
64.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\12_0213_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\14_0219_0_8bits.tiff,,,,,,,,,,
65.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\18_0924_0_8bits.tiff,,,,,,,,,,,
67.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\9_0205_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_155435_tube3_cropped_8bits2\20_1324_0_8bits.tiff,,,,,,,,,,
69.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\19_1124_0_8bits.tiff,,,,,,,,,,,
70.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\16_0324_0_8bits.tiff,,,,,,,,,,,
73.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\11_0211_0_8bits.tiff,,,,,,,,,,,
81.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_154646_tube2_cropped_8bits2\7_0401_0_8bits.tiff,,,,,,,,,,,
