,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,204.752306938171,199.781744122505,185.823374509811,198.953317284584,202.99494767189,183.923879504203,169.195957899093,198.124890327453,185.681239962577,215.823374867439,197.923879384994,252.308655858039
40.0,172.468035936355,,,,,,,,,,,
41.0,149.296463012695,,,,,,,,,,,
42.0,179.781744241714,145.053822398185,,,,,,,,,,
43.0,187.539103627204,167.195958256721,,,,,,,,,,
44.0,186.610171794891,166.710676431655,,,,,,,,,,
46.0,175.296462893486,170.225395321846,165.781744360923,,,,,,,,,
50.0,176.811181902885,99.4974734783172,205.438598871231,191.639609217643,212.752306461334,211.438598394393,,,,,,
51.0,163.053822517395,,,,,,,,,,,
52.0,176.610170841217,202.024384737014,199.92388010025,,,,,,,,,
53.0,177.982754826545,211.438598752021,207.781744241714,,,,,,,,,
58.0,218.852812290191,249.095452666282,,,,,,,,,,
59.0,180.468036293983,186.710676431655,,,,,,,,,,
60.0,226.852812051773,106.911687374114,233.681238770484,,,,,,,,,
61.0,309.722869396209,222.367531061172,,,,,,,,,,
64.0,241.681239128112,200.610170960426,,,,,,,,,,
65.0,183.781744599342,,,,,,,,,,,
67.0,235.580733895301,170.225395560264,,,,,,,,,,
69.0,160.225395560264,,,,,,,,,,,
70.0,184.024384737014,,,,,,,,,,,
73.0,240.066015601158,,,,,,,,,,,
81.0,246.308655261993,,,,,,,,,,,
