,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,195.982754945755,216.267026185989,148.811181902885,136.325900793075,208.610171318054,217.539103627204,181.053822636604,190.710676908493,171.053822517395,192.953317761421,87.3553383350372,156.468036174774,181.781744360923,185.053822517395,236.610171437263,191.781744480133,174.911687493324,244.367530941963,169.982754945755
40,146.426406025886,,,,,,,,,,,,,,,,,,
41,152.325900793075,117.154327511787,,,,,,,,,,,,,,,,,
42,161.882249593734,134.325900793075,226.468036055564,,,,,,,,,,,,,,,,
44,187.296463251113,134.225395560264,149.982754826545,115.012192606925,,,,,,,,,,,,,,,
45,210.367530584335,161.154327988624,169.982754826545,,,,,,,,,,,,,,,,
46,152.811181902885,,,,,,,,,,,,,,,,,,
47,159.639608860015,,,,,,,,,,,,,,,,,,
48,171.154327630996,,,,,,,,,,,,,,,,,,
49,180.811182022094,143.296463370323,175.882249832153,191.053822517395,,,,,,,,,,,,,,,
50,174.124889850616,154.083260059356,,,,,,,,,,,,,,,,,
51,182.024385213851,180.953317403793,,,,,,,,,,,,,,,,,
53,141.982754707336,,,,,,,,,,,,,,,,,,
55,195.539103746414,,,,,,,,,,,,,,,,,,
56,191.396968722343,176.710676431655,146.811181783676,,,,,,,,,,,,,,,,
60,145.982754707336,,,,,,,,,,,,,,,,,,
63,162.225395441055,,,,,,,,,,,,,,,,,,
67,191.781744122505,,,,,,,,,,,,,,,,,,
69,183.053822636604,136.911687374115,,,,,,,,,,,,,,,,,
72,227.78174495697,,,,,,,,,,,,,,,,,,
81,258.409160971641,,,,,,,,,,,,,,,,,,
