,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,,,,,,,,,,,,,,,,,
37.0,173.2964631319046,154.2253955602646,158.36753106117249,156.8528118133545,159.78174448013306,155.63960897922516,171.43859899044037,191.33809304237369,154.9533174037933,168.4680359363556,155.7401144504547,172.26702523231506,162.36753106117249,176.36753058433533,181.9238802194596,141.0538227558136,221.5391036272049,216.6101714372635,173.29646337032318,170.02438509464264,151.53910410404205,152.4680358171463
40.0,145.98275458812714,121.98275482654572,,,,,,,,,,,,,,,,,,,,
43.0,135.3969682455063,169.88224971294403,146.9116872549057,,,,,,,,,,,,,,,,,,,
44.0,143.05382251739502,135.49747383594513,130.32590067386627,,,,,,,,,,,,,,,,,,,
45.0,142.66904664039612,110.08326005935668,,,,,,,,,,,,,,,,,,,,
46.0,137.98275482654572,161.53910434246063,,,,,,,,,,,,,,,,,,,,
47.0,130.9116871356964,,,,,,,,,,,,,,,,,,,,,
48.0,176.71067690849304,,,,,,,,,,,,,,,,,,,,,
49.0,117.74011445045473,165.43859922885895,,,,,,,,,,,,,,,,,,,,
50.0,147.39696836471558,,,,,,,,,,,,,,,,,,,,,
51.0,165.05382239818573,149.15432822704315,,,,,,,,,,,,,,,,,,,,
52.0,145.1543276309967,,,,,,,,,,,,,,,,,,,,,
53.0,228.5512957572937,,,,,,,,,,,,,,,,,,,,,
54.0,187.6396089792252,,,,,,,,,,,,,,,,,,,,,
55.0,124.66904652118684,,,,,,,,,,,,,,,,,,,,,
56.0,144.12489068508148,194.7106763124466,215.5391035079956,131.3969688415527,,,,,,,,,,,,,,,,,,
57.0,135.74011421203613,,,,,,,,,,,,,,,,,,,,,
58.0,175.15432786941528,185.0538226366043,,,,,,,,,,,,,,,,,,,,
59.0,146.81118154525757,,,,,,,,,,,,,,,,,,,,,
60.0,166.71067655086517,171.39696836471558,,,,,,,,,,,,,,,,,,,,
62.0,202.02438509464264,156.2253955602646,,,,,,,,,,,,,,,,,,,,
63.0,151.2964631319046,145.63960886001587,,,,,,,,,,,,,,,,,,,,
65.0,146.46803653240204,164.95331728458405,,,,,,,,,,,,,,,,,,,,
67.0,114.42640602588654,,,,,,,,,,,,,,,,,,,,,
68.0,180.71067678928367,,,,,,,,,,,,,,,,,,,,,
69.0,130.22539567947388,137.982754945755,133.74011421203613,,,,,,,,,,,,,,,,,,,
71.0,151.740114569664,,,,,,,,,,,,,,,,,,,,,
73.0,143.2964630126953,150.56854164600372,,,,,,,,,,,,,,,,,,,,
74.0,154.95331752300262,,,,,,,,,,,,,,,,,,,,,
79.0,155.53910374641418,,,,,,,,,,,,,,,,,,,,,
87.0,163.88224983215332,,,,,,,,,,,,,,,,,,,,,
