,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,1405.0,1503.0,1001.0,701.0,1504.0,1401.0,1201.0,901.0,1504.0,1502.0,1201.0,901.0
40.0,218.0,,,,,,,,,,,
41.0,216.0,,,,,,,,,,,
42.0,208.0,324.0,,,,,,,,,,
43.0,401.0,221.0,,,,,,,,,,
44.0,202.0,218.0,,,,,,,,,,
46.0,524.0,824.0,215.0,,,,,,,,,
50.0,205.0,205.0,210.0,213.0,208.0,223.0,,,,,,
51.0,1424.0,,,,,,,,,,,
52.0,401.0,221.0,524.0,,,,,,,,,
53.0,1124.0,601.0,216.0,,,,,,,,,
58.0,205.0,213.0,,,,,,,,,,
59.0,210.0,824.0,,,,,,,,,,
60.0,202.0,1024.0,222.0,,,,,,,,,
61.0,208.0,624.0,,,,,,,,,,
64.0,213.0,219.0,,,,,,,,,,
65.0,924.0,,,,,,,,,,,
67.0,205.0,1324.0,,,,,,,,,,
69.0,1124.0,,,,,,,,,,,
70.0,324.0,,,,,,,,,,,
73.0,211.0,,,,,,,,,,,
81.0,401.0,,,,,,,,,,,
