,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40.0,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,True,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
