,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,False,False,False,False,False,False,False,False,False,False,False,False
40.0,False,,,,,,,,,,,
41.0,False,,,,,,,,,,,
42.0,False,False,,,,,,,,,,
43.0,False,False,,,,,,,,,,
44.0,False,False,,,,,,,,,,
46.0,False,False,False,,,,,,,,,
50.0,True,True,False,False,False,False,,,,,,
51.0,False,,,,,,,,,,,
52.0,False,False,False,,,,,,,,,
53.0,False,False,False,,,,,,,,,
58.0,False,False,,,,,,,,,,
59.0,False,False,,,,,,,,,,
60.0,False,False,False,,,,,,,,,
61.0,False,False,,,,,,,,,,
64.0,False,False,,,,,,,,,,
65.0,False,,,,,,,,,,,
67.0,False,False,,,,,,,,,,
69.0,False,,,,,,,,,,,
70.0,False,,,,,,,,,,,
73.0,False,,,,,,,,,,,
81.0,False,,,,,,,,,,,
