,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,,,,,,,,,,3131.5,2204.0,2042.0,2507.0,1984.5,1916.0,3697.0,2824.5,1925.0,2519.0,2082.5,1909.5,1718.0,1776.0,1872.0,1706.5,1519.0,2427.5,1524.0,2186.0,1923.0,1044.5,1039.5,589.0,1302.0,1075.0,685.0,1207.5
40.0,,632.0,891.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,1848.5,1461.0,1132.5,1175.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,2182.5,1028.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,,1497.5,1249.0,1749.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,1349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,,,2149.0,1535.0,1002.5,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,1706.0,929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,2022.5,1550.0,1400.5,1321.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,1764.5,1680.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,1311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,1880.0,897.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,1437.5,1952.5,1570.0,1408.0,1390.0,1309.5,1338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,1692.5,1659.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,,1935.0,1026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,1159.0,762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,1409.0,1409.0,1502.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,,1376.0,788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,,1137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,1641.0,735.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,1762.0,694.5,663.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,1382.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,916.5,940.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,1300.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,,1795.0,1998.0,1359.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,,,1469.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,1636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,1437.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,1596.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,1626.0,1536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,,2296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,1327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,1903.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
