,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,3131.5,2204.0,2042.0,2507.0,1984.5,1916.0,3697.0,2824.5,1925.0,2519.0
42.0,1848.5,1461.0,,,,,,,,
43.0,2182.5,,,,,,,,,
44.0,1497.5,1249.0,,,,,,,,
45.0,1349.0,,,,,,,,,
46.0,2149.0,,,,,,,,,
48.0,2022.5,1550.0,,,,,,,,
52.0,1437.5,1952.5,1570.0,1408.0,,,,,,
53.0,1692.5,,,,,,,,,
57.0,1409.0,1409.0,,,,,,,,
60.0,1641.0,735.5,,,,,,,,
62.0,1382.5,,,,,,,,,
64.0,1300.5,,,,,,,,,
66.0,1795.0,,,,,,,,,
68.0,1636.0,,,,,,,,,
69.0,1437.5,,,,,,,,,
70.0,1596.5,,,,,,,,,
71.0,1626.0,1536.0,,,,,,,,
79.0,1327.0,,,,,,,,,
85.0,1903.5,,,,,,,,,
