,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,1957.5,1733.5,1489.5,1495.5,1379.5,2186.5,1957.0,1701.5,2137.0,1778.0,1716.5,1731.5
40.0,1302.5,,,,,,,,,,,
41.0,1308.5,1547.0,1316.0,1207.5,1275.5,,,,,,,
42.0,1128.5,,,,,,,,,,,
43.0,1546.0,1485.0,,,,,,,,,,
44.0,1479.5,1330.5,1255.0,1686.0,,,,,,,,
46.0,1238.5,1256.0,1541.0,882.5,,,,,,,,
47.0,1319.0,,,,,,,,,,,
48.0,1065.0,1218.5,,,,,,,,,,
49.0,1126.0,,,,,,,,,,,
50.0,1328.5,2408.5,,,,,,,,,,
52.0,1144.0,,,,,,,,,,,
54.0,1502.0,,,,,,,,,,,
55.0,1150.0,,,,,,,,,,,
56.0,1190.5,,,,,,,,,,,
58.0,2468.0,,,,,,,,,,,
59.0,1573.5,1037.0,,,,,,,,,,
60.0,960.5,,,,,,,,,,,
63.0,1193.5,,,,,,,,,,,
65.0,857.0,,,,,,,,,,,
66.0,1256.5,,,,,,,,,,,
67.0,1778.5,2334.0,826.5,,,,,,,,,
74.0,824.5,,,,,,,,,,,
77.0,1067.5,,,,,,,,,,,
