,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,,,,,,,,,,"(79, 71)","(72, 79)","(77, 78)","(74, 69)","(79, 81)","(79, 75)","(73, 71)","(72, 74)","(76, 72)","(76, 75)","(79, 79)","(70, 69)","(78, 78)","(75, 80)","(78, 75)","(77, 70)","(75, 76)","(71, 74)","(78, 73)","(79, 72)","(74, 69)","(77, 89)","(76, 64)","(73, 126)","(104, 39)","(74, 92)","(73, 70)","(74, 77)"
40.0,,"(33, 87)","(101, 62)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,"(76, 75)","(74, 67)","(79, 71)","(76, 80)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,"(74, 69)","(76, 71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,,"(75, 72)","(72, 70)","(75, 74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,"(77, 74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,,,"(78, 79)","(74, 74)","(79, 83)","(73, 73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,"(73, 74)","(68, 78)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,"(75, 75)","(71, 75)","(86, 73)","(73, 78)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,"(75, 73)","(75, 78)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,"(65, 72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,"(79, 68)","(66, 59)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,"(75, 69)","(77, 81)","(77, 70)","(71, 68)","(74, 80)","(82, 74)","(76, 67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,"(76, 72)","(74, 72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,,"(78, 74)","(77, 70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,"(77, 78)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,"(86, 69)","(77, 75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,"(73, 68)","(79, 72)","(82, 70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,,"(75, 78)","(73, 72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,,"(75, 78)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,"(67, 70)","(72, 75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,"(77, 76)","(72, 71)","(72, 79)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,"(66, 69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,"(74, 73)","(78, 71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,"(73, 75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,,"(67, 77)","(74, 75)","(72, 71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,,,"(79, 75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,"(81, 69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,"(72, 79)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,"(81, 75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,"(75, 72)","(75, 71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,"(73, 69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,,"(66, 71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,"(71, 73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,"(77, 73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
