,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,"(79, 71)","(72, 79)","(77, 78)","(74, 69)","(79, 81)","(79, 75)","(73, 71)","(72, 74)","(76, 72)","(76, 75)"
42.0,"(76, 75)","(74, 67)",,,,,,,,
43.0,"(74, 69)",,,,,,,,,
44.0,"(75, 72)","(72, 70)",,,,,,,,
45.0,"(77, 74)",,,,,,,,,
46.0,"(78, 79)",,,,,,,,,
48.0,"(75, 75)","(71, 75)",,,,,,,,
52.0,"(75, 69)","(77, 81)","(77, 70)","(71, 68)",,,,,,
53.0,"(76, 72)",,,,,,,,,
57.0,"(73, 68)","(79, 72)",,,,,,,,
60.0,"(67, 70)","(72, 75)",,,,,,,,
62.0,"(66, 69)",,,,,,,,,
64.0,"(73, 75)",,,,,,,,,
66.0,"(67, 77)",,,,,,,,,
68.0,"(81, 69)",,,,,,,,,
69.0,"(72, 79)",,,,,,,,,
70.0,"(81, 75)",,,,,,,,,
71.0,"(75, 72)","(75, 71)",,,,,,,,
79.0,"(71, 73)",,,,,,,,,
85.0,"(77, 73)",,,,,,,,,
