,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
40.0,2.0,,,,,,,,,,,
41.0,2.0,2.0,2.0,2.0,2.0,,,,,,,
42.0,2.0,,,,,,,,,,,
43.0,2.0,2.0,,,,,,,,,,
44.0,2.0,2.0,2.0,2.0,,,,,,,,
46.0,2.0,2.0,2.0,2.0,,,,,,,,
47.0,2.0,,,,,,,,,,,
48.0,2.0,2.0,,,,,,,,,,
49.0,2.0,,,,,,,,,,,
50.0,2.0,2.0,,,,,,,,,,
52.0,2.0,,,,,,,,,,,
54.0,2.0,,,,,,,,,,,
55.0,2.0,,,,,,,,,,,
56.0,2.0,,,,,,,,,,,
58.0,2.0,,,,,,,,,,,
59.0,2.0,2.0,,,,,,,,,,
60.0,2.0,,,,,,,,,,,
63.0,2.0,,,,,,,,,,,
65.0,2.0,,,,,,,,,,,
66.0,2.0,,,,,,,,,,,
67.0,2.0,2.0,2.0,,,,,,,,,
74.0,2.0,,,,,,,,,,,
77.0,2.0,,,,,,,,,,,
