,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,,,,,,,,,,63.143880418756,52.9737666831073,50.9897553470224,56.4978896831647,50.2667273305805,49.3915677794557,68.6087938742979,59.9688677073735,49.5074350336915,56.6329445922413,51.4929252607673,49.3077165428677,46.7699212940861,47.5528488258027,48.8211473415386,46.6131235071257,43.9778452001995,55.5948648244116,44.0501653365386,52.757005646559,49.4817102021112,36.467776248023,36.3803862919595,27.3849975689064,40.7155730310305,36.9963851016595,29.5325090052231,39.210161313972
40.0,,28.3670123959613,33.6911420722331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,48.5137433975461,43.1300704249143,37.9729348933233,38.687117815058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,52.7147541622314,36.1873855336374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,,43.6655037557212,39.8782671561117,47.1967433570809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,41.4439397964012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,,,52.3086205288943,44.2088531989744,35.7270575838117,39.0882009522335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,46.6062942457152,34.3924342996968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,50.7457089735365,44.4243322329047,42.2276210838545,41.0193376149288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,47.3986410847947,46.2566649784378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,40.8560527112911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,48.9253548183567,33.8043265189503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,42.7817933887395,49.8598055661612,44.7100222012269,42.3405394272098,42.0690262209844,40.832672993948,41.2746230855673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,46.4215244198665,45.9667382406888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,,49.6358592054427,36.1433779951221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,33.9077470336183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,38.4146408592876,31.148170621855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,42.3555724613874,42.3555724613874,43.7383403430512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,,41.8566316556359,31.6751126478077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,,38.0483030155601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,45.7098030285671,30.6017595107325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,47.3650512279186,29.7365913281695,29.0653477173726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,41.9553771356707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,34.160269945505,34.6046498584138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,40.6921126009461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,,47.806537029988,50.4374128041958,41.6049175106435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,,,43.2553523969961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,45.6401127867441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,42.7817933887395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,45.0857730683381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,45.500412083182,44.2232511323309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,31.3518887554728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,,54.0680866566585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,41.1046089369983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,49.2301886387141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
