,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,63.143880418756,52.9737666831073,50.9897553470224,56.4978896831647,50.2667273305805,49.3915677794557,68.6087938742979,59.9688677073735,49.5074350336915,56.6329445922413
42.0,48.5137433975461,43.1300704249143,,,,,,,,
43.0,52.7147541622314,,,,,,,,,
44.0,43.6655037557212,39.8782671561117,,,,,,,,
45.0,41.4439397964012,,,,,,,,,
46.0,52.3086205288943,,,,,,,,,
48.0,50.7457089735365,44.4243322329047,,,,,,,,
52.0,42.7817933887395,49.8598055661612,44.7100222012269,42.3405394272098,,,,,,
53.0,46.4215244198665,,,,,,,,,
57.0,42.3555724613874,42.3555724613874,,,,,,,,
60.0,45.7098030285671,30.6017595107325,,,,,,,,
62.0,41.9553771356707,,,,,,,,,
64.0,40.6921126009461,,,,,,,,,
66.0,47.806537029988,,,,,,,,,
68.0,45.6401127867441,,,,,,,,,
69.0,42.7817933887395,,,,,,,,,
70.0,45.0857730683381,,,,,,,,,
71.0,45.500412083182,44.2232511323309,,,,,,,,
79.0,41.1046089369983,,,,,,,,,
85.0,49.2301886387141,,,,,,,,,
