,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,0.944099774371231,0.962052816663491,0.970235992425964,0.949334716161088,0.959776109612366,0.96581379046756,0.939988875875177,0.949512849677397,0.965243463099286,0.958023512558688
42.0,0.974639671758976,0.969466028604593,,,,,,,,
43.0,0.962887765678764,,,,,,,,,
44.0,0.97375244461261,0.97397251099075,,,,,,,,
45.0,0.976774752340484,,,,,,,,,
46.0,0.965419680617785,,,,,,,,,
48.0,0.972878504913246,0.975156805127274,,,,,,,,
52.0,0.975567218574892,0.96996776695916,0.972257165690091,0.96985434706777,,,,,,
53.0,0.971546382481731,,,,,,,,,
57.0,0.970379190475657,0.970041520727003,,,,,,,,
60.0,0.973261716950939,0.986725498567898,,,,,,,,
62.0,0.96855193309745,,,,,,,,,
64.0,0.971837788367123,,,,,,,,,
66.0,0.973188505216929,,,,,,,,,
68.0,0.972411155970571,,,,,,,,,
69.0,0.974867133135747,,,,,,,,,
70.0,0.981576021792997,,,,,,,,,
71.0,0.97380444718496,0.969906364400574,,,,,,,,
79.0,0.978644078504827,,,,,,,,,
85.0,0.968666719189895,,,,,,,,,
