,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,774.210738560522,1080.56398981696,943.580875189229,885.235272742082,994.763575545193,875.719369233529,767.830991096487,851.473429405181,793.274517967377,875.073886399253
42.0,683.462424012158,697.695539755385,,,,,,,,
43.0,728.298113657837,,,,,,,,,
44.0,808.368688379306,773.910659436478,,,,,,,,
45.0,621.680338837957,,,,,,,,,
46.0,806.716132143177,,,,,,,,,
48.0,695.470270977961,828.465633938036,,,,,,,,
52.0,894.263175593054,771.004693764437,754.078693528693,956.977399240031,,,,,,
53.0,1168.66412648497,,,,,,,,,
57.0,998.392852324574,772.625203252032,,,,,,,,
60.0,945.383416434461,775.814662930888,,,,,,,,
62.0,1039.47604600834,,,,,,,,,
64.0,1165.70819149366,,,,,,,,,
66.0,1066.61055243759,,,,,,,,,
68.0,1145.78681818736,,,,,,,,,
69.0,1206.07795951622,,,,,,,,,
70.0,841.630784612454,,,,,,,,,
71.0,1227.56987210967,1311.14873169901,,,,,,,,
79.0,971.433915791879,,,,,,,,,
85.0,1230.01900059646,,,,,,,,,
