,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
37.0,30.54744304556356,35.878995714997515,34.19895122655123,40.61856852629474,50.89116068036228,38.47713320026614,25.580843369175632,46.00158383838384,44.554429603661504,45.22604743398106,59.70459198106229,37.036111847922186,25.958579444952733,21.88957383929856,44.23739084967321,58.18878823529412,57.61156534148827,43.96243653715065,43.96243653715065,55.51593183183183,41.340250630011454,32.347535463179966,35.98361625175126
40.0,33.859870433145005,33.859870433145005,,,,,,,,,,,,,,,,,,,,,
41.0,38.65789886210222,,,,,,,,,,,,,,,,,,,,,,
42.0,45.38962561688776,28.930654077253223,28.930654077253223,,,,,,,,,,,,,,,,,,,,
43.0,21.775461139659697,,,,,,,,,,,,,,,,,,,,,,
44.0,45.89150827423167,,,,,,,,,,,,,,,,,,,,,,
46.0,25.40456894164194,,,,,,,,,,,,,,,,,,,,,,
47.0,35.23195862314964,,,,,,,,,,,,,,,,,,,,,,
48.0,45.11180908274996,55.89280353982301,,,,,,,,,,,,,,,,,,,,,
51.0,34.71814720472747,34.71814720472747,,,,,,,,,,,,,,,,,,,,,
54.0,30.251921752738653,,,,,,,,,,,,,,,,,,,,,,
56.0,37.87091644082227,,,,,,,,,,,,,,,,,,,,,,
