,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,,,,,,,,,,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161757_tube6_cropped_8bits2\1_1105_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161757_tube6_cropped_8bits2\2_1405_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161757_tube6_cropped_8bits2\3_1503_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161757_tube6_cropped_8bits2\4_1301_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161757_tube6_cropped_8bits2\5_1001_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161757_tube6_cropped_8bits2\6_0701_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161009_tube5_cropped_8bits2\1_1205_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161009_tube5_cropped_8bits2\3_1401_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161009_tube5_cropped_8bits2\4_1101_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161009_tube5_cropped_8bits2\6_0601_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\1_0705_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\2_0905_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\3_1205_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\4_1504_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\5_1401_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\6_1201_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\3_1205_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\4_1504_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\5_1401_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\1_0605_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\2_0905_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\3_1205_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\3_1205_1_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\4_1504_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\4_1504_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\5_1401_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\5_1401_1_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\6_1001_0_8bits.tiff
40.0,,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\13_0213_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\13_0213_0_8bits.tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161009_tube5_cropped_8bits2\11_0211_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161009_tube5_cropped_8bits2\19_1024_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\15_0220_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\19_1024_0_8bits.tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161009_tube5_cropped_8bits2\7_0301_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\16_0222_0_8bits.tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161009_tube5_cropped_8bits2\17_0524_0_8bits.tiff,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161009_tube5_cropped_8bits2\20_1324_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\8_0501_0_8bits.tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161009_tube5_cropped_8bits2\12_0214_0_8bits.tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,,,G:\Experiments\PTT\Spheroids\02062025_mcf7\04062025 after laser\Analysis\2025-06-04_161009_tube5_cropped_8bits2\10_0208_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\13_0213_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\18_0724_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\13_0213_0_8bits.tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\19_1024_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\20_1324_0_8bits.tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
