,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
37.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\1_0705_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\2_0905_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\3_1205_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\4_1504_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\5_1401_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\6_1201_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\3_1205_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\4_1504_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\5_1401_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\1_0605_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\2_0905_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\3_1205_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\3_1205_1_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\4_1504_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\4_1504_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\5_1401_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\5_1401_1_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\6_1001_0_8bits.tiff
40.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\13_0213_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\13_0213_0_8bits.tiff,,,,,,,,,,,,,,,,
42.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\15_0220_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\19_1024_0_8bits.tiff,,,,,,,,,,,,,,,,
43.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\16_0222_0_8bits.tiff,,,,,,,,,,,,,,,,,
44.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\8_0501_0_8bits.tiff,,,,,,,,,,,,,,,,,
46.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\13_0213_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\18_0724_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\13_0213_0_8bits.tiff,,,,,,,,,,,,,,,
47.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\19_1024_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\20_1324_0_8bits.tiff,,,,,,,,,,,,,,,,
48.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\10_0204_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\14_0217_0_8bits.tiff,,,,,,,,,,,,,,,,
49.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\7_0801_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\15_0219_0_8bits.tiff,,,,,,,,,,,,,,,,
50.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\19_1024_0_8bits.tiff,,,,,,,,,,,,,,,,,
51.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\8_0501_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\11_0208_0_8bits.tiff,,,,,,,,,,,,,,,,
52.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\16_0222_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\18_0724_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\15_0219_0_8bits.tiff,,,,,,,,,,,,,,,
53.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\9_0301_0_8bits.tiff,,,,,,,,,,,,,,,,,
54.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\10_0204_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\17_0424_0_8bits.tiff,,,,,,,,,,,,,,,,
55.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\7_0801_0_8bits.tiff,,,,,,,,,,,,,,,,,
56.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_143332_tube4_cropped_8bits2\12_0210_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\18_0724_0_8bits.tiff,,,,,,,,,,,,,,,,
57.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\12_0210_0_8bits.tiff,,,,,,,,,,,,,,,,,
58.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\20_1224_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\9_0202_0_8bits.tiff,,,,,,,,,,,,,,,,
59.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\12_0210_0_8bits.tiff,,,,,,,,,,,,,,,,,
61.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\14_0216_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\8_0501_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\11_0207_0_8bits.tiff,,,,,,,,,,,,,,,
63.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\10_0204_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\16_0222_0_8bits.tiff,,,,,,,,,,,,,,,,
66.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\11_0207_0_8bits.tiff,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\17_0424_0_8bits.tiff,,,,,,,,,,,,,,,,
67.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_145019_tube2_cropped_8bits2\17_0424_0_8bits.tiff,,,,,,,,,,,,,,,,,
72.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\20_1324_0_8bits.tiff,,,,,,,,,,,,,,,,,
77.0,G:\Experiments\PTT\Spheroids\05052025\07052025 after laser\Analysis\2025-05-07_150413_tube5_cropped_8bits2\14_0216_0_8bits.tiff,,,,,,,,,,,,,,,,,
