,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,251.438598752021,207.195957899093,196.367530465126,233.195958018302,213.639608740806,209.195957899093,291.480228543281,263.923879861831,215.539103627204,205.539103507995
42.0,193.296463370323,168.911687374115,,,,,,,,
43.0,202.610171675682,,,,,,,,,
44.0,167.296463251113,154.568541526794,,,,,,,,
45.0,278.166520357131,,,,,,,,,
46.0,279.823374390602,,,,,,,,,
48.0,196.953317403793,161.396968483924,,,,,,,,
52.0,199.781744480133,215.438598394393,192.225395441055,196.225395441055,,,,,,
53.0,172.468035817146,,,,,,,,,
57.0,175.740114331245,171.740114450454,,,,,,,,
60.0,243.539103865623,122.325900197029,,,,,,,,
62.0,161.639609456062,,,,,,,,,
64.0,172.811182141304,,,,,,,,,
66.0,193.539103984832,,,,,,,,,
68.0,172.225395560264,,,,,,,,,
69.0,178.468036055564,,,,,,,,,
70.0,175.296462893486,,,,,,,,,
71.0,171.539103865623,171.882249712944,,,,,,,,
79.0,171.539103746414,,,,,,,,,
85.0,211.781744360923,,,,,,,,,
