,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,174.61017179489136,171.43859899044037,163.9827550649643,179.78174448013306,151.6396086215973,197.92387998104093,187.53910374641416,169.29646372795105,182.3675308227539,212.024385213852,175.9827550649643,167.982754945755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,154.66904640197754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,146.46803617477417,150.71067678928375,142.56854116916656,150.81118154525757,155.98275470733645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,130.81118202209473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,150.36753070354462,159.88224959373474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,155.2964632511139,148.1248904466629,140.56854140758514,232.85281205177307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,145.98275470733645,193.5391036272049,170.2253955602646,130.66904628276825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,151.88224971294403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,149.3969682455063,139.49747347831726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,159.19595873355863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,148.81118214130402,270.066015124321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,145.74011409282684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,162.71067678928375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,139.74011433124542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,167.49747359752655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,353.3380935192108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,159.1543275117874,148.2253955602646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,125.1543276309967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,142.66904640197754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,131.25483322143555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,144.32590067386627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,202.6101714372635,364.79393661022186,119.49747371673584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,117.49747371673584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,129.49747359752655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
