,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,,,,,,,,,,1105.0,1405.0,1503.0,1301.0,1001.0,701.0,1205.0,1401.0,1101.0,601.0,705.0,905.0,1205.0,1504.0,1401.0,1201.0,1205.0,1504.0,1401.0,605.0,905.0,1205.0,1205.0,1504.0,1504.0,1401.0,1401.0,1001.0
40.0,,213.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,211.0,1024.0,220.0,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,301.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,,524.0,1324.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,,,208.0,213.0,724.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,1024.0,1324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,205.0,221.0,204.0,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,801.0,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,501.0,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,210.0,216.0,324.0,824.0,222.0,724.0,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,204.0,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,,204.0,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,210.0,724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,524.0,1024.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,,1224.0,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,218.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,216.0,501.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,204.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,,207.0,207.0,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,,,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,1224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,212.0,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,1324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
