,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,1105.0,1405.0,1503.0,1301.0,1001.0,701.0,1205.0,1401.0,1101.0,601.0
42.0,211.0,1024.0,,,,,,,,
43.0,301.0,,,,,,,,,
44.0,524.0,1324.0,,,,,,,,
45.0,214.0,,,,,,,,,
46.0,208.0,,,,,,,,,
48.0,205.0,221.0,,,,,,,,
52.0,210.0,216.0,324.0,824.0,,,,,,
53.0,204.0,,,,,,,,,
57.0,524.0,1024.0,,,,,,,,
60.0,218.0,218.0,,,,,,,,
62.0,220.0,,,,,,,,,
64.0,215.0,,,,,,,,,
66.0,207.0,,,,,,,,,
68.0,204.0,,,,,,,,,
69.0,1224.0,,,,,,,,,
70.0,217.0,,,,,,,,,
71.0,212.0,223.0,,,,,,,,
79.0,724.0,,,,,,,,,
85.0,202.0,,,,,,,,,
