,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False
40.0,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
