,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,False,False,False,False,False,False,False,False,False,False
42.0,False,False,,,,,,,,
43.0,False,,,,,,,,,
44.0,False,False,,,,,,,,
45.0,False,,,,,,,,,
46.0,False,,,,,,,,,
48.0,False,False,,,,,,,,
52.0,False,False,False,False,,,,,,
53.0,False,,,,,,,,,
57.0,False,False,,,,,,,,
60.0,True,True,,,,,,,,
62.0,False,,,,,,,,,
64.0,False,,,,,,,,,
66.0,False,,,,,,,,,
68.0,False,,,,,,,,,
69.0,False,,,,,,,,,
70.0,False,,,,,,,,,
71.0,False,False,,,,,,,,
79.0,False,,,,,,,,,
85.0,False,,,,,,,,,
