,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
37.0,154.18774533504725,127.3887390783566,104.8967159700627,134.78456872711865,145.3562546368196,149.40220850349533,330.41521314376257,208.34109258524447,187.2210025232172,88.4634613931773,61.21854521316203,55.38940035604248,66.58304808891697,76.55173059819388,63.11935331874449,63.921916741101526,71.3139482628111,65.9072052069321,60.0358201696885,60.16254071006066,69.62434105784891,80.05766554849042,91.67371508260544
40.0,79.14182684025613,79.14182684025613,,,,,,,,,,,,,,,,,,,,,
41.0,91.97576652487258,,,,,,,,,,,,,,,,,,,,,,
42.0,65.52479931047664,63.2625455355612,63.2625455355612,,,,,,,,,,,,,,,,,,,,
43.0,70.96290934633106,,,,,,,,,,,,,,,,,,,,,,
44.0,77.66266091050372,,,,,,,,,,,,,,,,,,,,,,
46.0,60.69575759863791,,,,,,,,,,,,,,,,,,,,,,
47.0,62.56646745097184,,,,,,,,,,,,,,,,,,,,,,
48.0,50.86365465381312,65.87283835277132,,,,,,,,,,,,,,,,,,,,,
51.0,63.784604099003225,63.784604099003225,,,,,,,,,,,,,,,,,,,,,
54.0,23.868876435831744,,,,,,,,,,,,,,,,,,,,,,
56.0,12.198692298888147,,,,,,,,,,,,,,,,,,,,,,
